Nome do Repositório,Descrição,URL,Criado em,Idade do Repositório (dias),Última Atualização,Tempo desde última atualização (dias),Linguagem Principal,Total PRs Mesclados,Total de Releases,Total de Issues,Total de Issues Fechadas
system-design-101,Explain complex systems using visuals and simple terms. Help you prepare for system design interviews.,https://github.com/ByteByteGoHq/system-design-101,18-09-2023,525,16-08-2024,192,N/A,21,0,50,15
node,Everything required to run your own Base node,https://github.com/base/node,01-02-2023,754,19-02-2025,5,Shell,141,43,207,158
screenshot-to-code,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue),https://github.com/abi/screenshot-to-code,14-11-2023,468,18-02-2025,6,Python,45,0,366,274
hoppscotch,"Open source API development ecosystem - https://hoppscotch.io (open-source alternative to Postman, Insomnia)",https://github.com/hoppscotch/hoppscotch,21-08-2019,2014,24-02-2025,0,TypeScript,1661,64,1792,1284
reveal.js,The HTML Presentation Framework,https://github.com/hakimel/reveal.js,07-06-2011,5011,20-02-2025,4,JavaScript,405,47,2431,1677
ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",https://github.com/comfyanonymous/ComfyUI,17-01-2023,769,24-02-2025,0,Python,661,37,4626,2674
devops-exercises,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",https://github.com/bregman-arie/devops-exercises,03-10-2019,1971,25-01-2025,30,Python,282,0,92,61
fzf,:cherry_blossom: A command-line fuzzy finder,https://github.com/junegunn/fzf,23-10-2013,4142,23-02-2025,1,Go,563,60,2891,2652
cs-video-courses,List of Computer Science courses with video lectures.,https://github.com/Developer-Y/cs-video-courses,21-10-2016,3048,22-02-2025,2,N/A,166,0,145,143
swift,The Swift Programming Language,https://github.com/swiftlang/swift,23-10-2015,3412,24-02-2025,0,C++,52334,57,16075,9070
redis,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps.",https://github.com/redis/redis,21-03-2009,5819,23-02-2025,1,C,3948,78,6626,4546
syncthing,Open Source Continuous File Synchronization,https://github.com/syncthing/syncthing,26-11-2013,4108,13-02-2025,11,Go,2608,396,5588,5217
gpt_academic,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。",https://github.com/binary-husky/gpt_academic,20-03-2023,707,21-02-2025,3,Python,221,32,1703,1464
awesome-machine-learning,"A curated list of awesome Machine Learning frameworks, libraries and software.",https://github.com/josephmisiti/awesome-machine-learning,15-07-2014,3877,13-02-2025,11,Python,849,0,91,91
awesome-react,A collection of awesome things regarding React ecosystem,https://github.com/enaqx/awesome-react,06-08-2014,3855,06-12-2024,80,N/A,779,0,108,107
protobuf,Protocol Buffers - Google's data interchange format,https://github.com/protocolbuffers/protobuf,26-08-2014,3835,22-02-2025,2,C++,6805,180,6432,6229
grafana,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",https://github.com/grafana/grafana,11-12-2013,4093,24-02-2025,0,TypeScript,51098,495,38984,35115
express,"Fast, unopinionated, minimalist web framework for node.",https://github.com/expressjs/express,26-06-2009,5722,22-02-2025,2,JavaScript,410,159,3935,3833
Best-websites-a-programmer-should-visit,:link: Some useful websites for programmers.,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,05-03-2017,2913,19-02-2025,5,N/A,428,0,170,101
d2l-zh,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,https://github.com/d2l-ai/d2l-zh,23-08-2017,2742,30-07-2024,209,Python,1019,16,0,0
cpython,The Python programming language,https://github.com/python/cpython,10-02-2017,2936,24-02-2025,0,Python,48450,0,71154,63938
Chart.js,Simple HTML5 Charts using the <canvas> tag,https://github.com/chartjs/Chart.js,17-03-2013,4362,19-02-2025,5,JavaScript,2983,114,7230,6788
strapi,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first.",https://github.com/strapi/strapi,30-09-2015,3435,21-02-2025,3,TypeScript,8749,443,10490,9593
