Nome do Repositório,Descrição,URL,Criado em,Idade do Repositório (dias),Última Atualização,Tempo desde última atualização (dias),Linguagem Principal,Total PRs Mesclados,Total de Releases,Total de Issues,Total de Issues Fechadas
metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,30-08-2011,4933,28-02-2025,2,Ruby,10949,0,6167,5742
carbon,:black_heart: Create and share beautiful images of your source code,https://github.com/carbon-app/carbon,16-06-2017,2816,27-12-2024,65,JavaScript,669,215,678,627
cli,"🥧 HTTPie CLI  — modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more.",https://github.com/httpie/cli,25-02-2012,4754,17-12-2024,75,Python,406,47,881,718
ccxt,A JavaScript / TypeScript / Python / C# / PHP / Go cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges,https://github.com/ccxt/ccxt,14-05-2017,2849,02-03-2025,0,Python,12558,140,10590,9667
ToolJet,"Low-code platform for building business applications. Connect to databases, cloud storages, GraphQL, API endpoints, Airtable, Google sheets, OpenAI, etc and build apps using drag and drop application builder. Built using JavaScript/TypeScript. 🚀",https://github.com/ToolJet/ToolJet,30-03-2021,1433,02-03-2025,0,JavaScript,5579,284,4690,4021
halo,强大易用的开源建站工具。,https://github.com/halo-dev/halo,21-03-2018,2538,02-03-2025,0,Java,2415,208,4138,3787
compose,Define and run multi-container applications with Docker,https://github.com/docker/compose,09-12-2013,4101,27-02-2025,3,Go,3287,247,7872,7789
glide,An image loading and caching library for Android focused on smooth scrolling,https://github.com/bumptech/glide,08-07-2013,4255,13-02-2025,17,Java,544,47,4461,3918
ChatTTS,A generative speech model for daily dialogue.,https://github.com/2noise/ChatTTS,27-05-2024,279,18-02-2025,12,Python,210,5,614,553
browser-use,Make websites accessible for AI agents,https://github.com/browser-use/browser-use,31-10-2024,122,01-03-2025,1,Python,271,37,405,141
the-way-to-go_ZH_CN,《The Way to Go》中文译本，中文正式名《Go 入门指南》,https://github.com/unknwon/the-way-to-go_ZH_CN,24-03-2013,4361,14-08-2024,200,Go,592,0,0,0
system-design,Learn how to design systems at scale and prepare for system design interviews,https://github.com/karanpratapsingh/system-design,15-08-2022,930,10-04-2024,326,N/A,11,0,21,20
vim-plug,:hibiscus: Minimalist Vim Plugin Manager,https://github.com/junegunn/vim-plug,10-09-2013,4191,27-02-2025,3,Vim Script,176,8,1027,958
TaskMatrix,Sem descrição,https://github.com/chenfei-wu/TaskMatrix,02-03-2023,731,06-01-2024,421,Python,21,0,356,136
HanLP,"Natural Language Processing for the next decade. Tokenization, Part-of-Speech Tagging, Named Entity Recognition, Syntactic & Semantic Dependency Parsing, Document Classification",https://github.com/hankcs/HanLP,09-10-2014,3797,15-01-2025,46,Python,79,62,1425,1417
node-v0.x-archive,Moved to https://github.com/nodejs/node,https://github.com/nodejs/node-v0.x-archive,27-05-2009,5758,15-08-2024,199,N/A,218,0,6379,6379
cal.com,Scheduling infrastructure for absolutely everyone.,https://github.com/calcom/cal.com,22-03-2021,1441,02-03-2025,0,TypeScript,8997,393,7243,6336
caffe,Caffe: a fast open framework for deep learning.,https://github.com/BVLC/caffe,12-09-2013,4189,31-07-2024,214,C++,1087,14,4799,3899
formik,"Build forms in React, without the tears 😭 ",https://github.com/jaredpalmer/formik,14-06-2017,2818,18-10-2024,135,TypeScript,829,196,2253,1557
clipboard.js,:scissors: Modern copy to clipboard. No Flash. Just 3kb gzipped :clipboard:,https://github.com/zenorocha/clipboard.js,18-09-2015,3453,09-01-2024,418,JavaScript,117,42,626,616
nushell,A new type of shell,https://github.com/nushell/nushell,10-05-2019,2123,01-03-2025,1,Rust,7343,104,6155,4698
awesome-javascript,"🐢 A collection of awesome browser-side  JavaScript libraries, resources and shiny things.",https://github.com/sorrycc/awesome-javascript,01-07-2014,3897,01-03-2025,1,N/A,388,0,91,87
12306,12306智能刷票，订票,https://github.com/testerSunshine/12306,17-05-2017,2846,02-04-2023,700,Python,31,1,691,466
marked,A markdown parser and compiler. Built for speed.,https://github.com/markedjs/marked,24-07-2011,4970,28-02-2025,2,TypeScript,1492,146,1563,1546
spacedrive,"Spacedrive is an open source cross-platform file explorer, powered by a virtual distributed filesystem written in Rust.",https://github.com/spacedriveapp/spacedrive,27-09-2021,1252,01-03-2025,1,TypeScript,1880,25,499,387
gold-miner,🥇掘金翻译计划，可能是世界最大最好的英译中技术社区，最懂读者和译者的翻译平台：,https://github.com/xitu/gold-miner,04-11-2015,3406,17-04-2024,319,N/A,3563,0,5597,5592
REKCARC-TSC-UHT,"清华大学计算机系课程攻略 Guidance for courses in Department of Computer Science and Technology, Tsinghua University",https://github.com/PKUanonym/REKCARC-TSC-UHT,05-04-2019,2158,22-02-2025,8,HTML,160,0,31,30
node,How to run an Ink Node,https://github.com/inkonchain/node,13-05-2024,293,24-02-2025,6,Shell,29,3,16,10
netty,Netty project - an event-driven asynchronous network application framework,https://github.com/netty/netty,09-11-2010,5227,28-02-2025,2,Java,3954,0,6570,5983
Langchain-Chatchat,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ",https://github.com/chatchat-space/Langchain-Chatchat,31-03-2023,702,29-11-2024,93,TypeScript,616,31,4054,3846
docs,Ink Documentation,https://github.com/inkonchain/docs,07-05-2024,299,24-02-2025,6,MDX,283,0,27,13
awesome-shell,"A curated list of awesome command-line frameworks, toolkits, guides and gizmos. Inspired by awesome-php.",https://github.com/alebcay/awesome-shell,07-07-2014,3891,21-08-2024,193,N/A,307,0,57,22
union,"The trust-minimized, zero-knowledge bridging protocol, designed for censorship resistance, extremely high security, and usage in decentralized finance.",https://github.com/unionlabs/union,16-05-2023,656,02-03-2025,0,Rust,1971,76,1655,1423
jieba,结巴中文分词,https://github.com/fxsjy/jieba,29-09-2012,4537,21-08-2024,193,Python,96,9,854,227
react-beautiful-dnd,Beautiful and accessible drag and drop for lists with React,https://github.com/atlassian/react-beautiful-dnd,09-08-2017,2762,24-02-2025,6,JavaScript,530,68,1614,1044
ink-kit,"Onchain-focused SDK with ready-to-use templates, themes, and magical animated components ✨",https://github.com/inkonchain/ink-kit,04-11-2024,118,28-02-2025,2,TypeScript,86,0,3,2
shadowsocks,Sem descrição,https://github.com/shadowsocks/shadowsocks,20-04-2012,4699,01-04-2024,335,Python,70,2,0,0
AndroidUtilCode,:fire: Android developers should collect the following utils(updating).,https://github.com/Blankj/AndroidUtilCode,30-07-2016,3137,15-08-2024,199,Java,88,117,1582,1279
sqlmap,Automatic SQL injection and database takeover tool,https://github.com/sqlmapproject/sqlmap,26-06-2012,4632,26-02-2025,4,Python,169,10,5288,5237
spring-boot-demo,🚀一个用来深入学习并实战 Spring Boot 的项目。,https://github.com/xkcoding/spring-boot-demo,10-11-2017,2669,24-07-2024,221,Java,15,0,169,73
LeetCode-Go,"✅ Solutions to LeetCode by Go, 100% test coverage, runtime beats 100% / LeetCode 题解",https://github.com/halfrost/LeetCode-Go,18-07-2017,2784,11-12-2024,81,Go,178,4,80,64
AFNetworking,"A delightful networking framework for iOS, macOS, watchOS, and tvOS.",https://github.com/AFNetworking/AFNetworking,31-05-2011,5024,17-01-2023,775,Objective-C,710,40,0,0
faiss,A library for efficient similarity search and clustering of dense vectors.,https://github.com/facebookresearch/faiss,07-02-2017,2945,01-03-2025,1,C++,137,18,2577,2353
